Date,SP500,USD,BOND,CREDIT,DVIX
Oct-13,0.046313,0.0056,0.010870937,2.69,-2.85
Nov-13,0.030811,0.0329,-0.001872592,2.67,-0.05
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
